industry,task_pattern,skill_chain,rationale
Fintech,dashboard|analytics|metrics|data viz,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/06_chart_data_visualization|product_ux/design_system_generator|app_development/ui_pre_delivery_checklist,Fintech dashboard cần trust-focused style + data visualization + consistent design system
Fintech,payment|checkout|transaction,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|security_compliance/api_security_checklist|app_development/ui_pre_delivery_checklist,Payment flow cần security-first design + trust signals + API security
Fintech,banking|mobile bank|neobank,app_development/industry_ui_reasoning|app_development/mobile_framework_ui_guide|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|product_ux/dark_light_mode_audit|app_development/ui_pre_delivery_checklist,Mobile banking cần trust + dark mode support + mobile best practices
Fintech,trading|stock|crypto,app_development/industry_ui_reasoning|product_ux/ui_style_selection|web_development/06_chart_data_visualization|web_development/10_react_performance_audit|product_ux/interaction_design_review,Trading UI cần real-time data viz + performance-critical rendering
Fintech,insurance|claim,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|marketing_seo/conversion_landing_optimizer,Insurance cần trust + clear communication + conversion optimization
Fintech,lending|loan|credit,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|security_compliance/gdpr_compliance_review|marketing_seo/conversion_landing_optimizer,Lending cần compliance + trust + conversion funnel
Healthcare,patient portal|medical|health record,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|web_development/08_web_aria_keyboard_audit|app_development/ui_pre_delivery_checklist,Healthcare cần accessibility-first + calming colors + clear typography
Healthcare,telemedicine|telehealth|video consult,app_development/industry_ui_reasoning|app_development/mobile_framework_ui_guide|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review,Telemedicine cần mobile-first + calming UX + smooth interaction
Healthcare,pharmacy|prescription|medication,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|security_compliance/gdpr_compliance_review|app_development/ui_pre_delivery_checklist,Pharmacy cần HIPAA/privacy compliance + trust + safe color coding
Healthcare,fitness|wellness|gym,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/06_chart_data_visualization|app_development/mobile_framework_ui_guide,Fitness cần motivating colors + progress charts + mobile-first
Healthcare,mental health|therapy|meditation,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|product_ux/dark_light_mode_audit,Mental health cần calming + accessible + preference-respecting UI
Ecommerce,product listing|catalog|inventory,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/07_landing_page_pattern|marketing_seo/product_page_style_matcher|app_development/ui_pre_delivery_checklist,E-commerce listing cần product-focused layout + style matching + conversion
Ecommerce,cart|checkout|order,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/interaction_design_review|security_compliance/api_security_checklist|app_development/ui_pre_delivery_checklist,Cart/checkout cần frictionless interaction + secure payment flow
Ecommerce,marketplace|multi vendor,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/design_system_generator|web_development/10_react_performance_audit,Marketplace cần scalable design system + performance for many products
Ecommerce,review|rating|feedback,product_ux/ui_style_selection|product_ux/interaction_design_review|web_development/08_web_aria_keyboard_audit|app_development/ui_pre_delivery_checklist,Review UI cần accessible + trustworthy + clear interaction
Ecommerce,fashion|clothing|apparel,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|marketing_seo/product_page_style_matcher|marketing_seo/conversion_landing_optimizer,Fashion e-commerce cần visual-heavy + style-matched + conversion-optimized
Ecommerce,food|grocery|delivery,app_development/industry_ui_reasoning|app_development/mobile_framework_ui_guide|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review,Food delivery cần mobile-first + warm colors + fast interaction
SaaS,dashboard|admin|panel,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/06_chart_data_visualization|product_ux/design_system_generator|web_development/10_react_performance_audit,SaaS dashboard cần professional style + data viz + performance
SaaS,settings|config|preferences,product_ux/ui_style_selection|product_ux/interaction_design_review|web_development/08_web_aria_keyboard_audit|app_development/ui_pre_delivery_checklist,Settings page cần clear hierarchy + accessible forms + keyboard nav
SaaS,onboarding|setup|wizard,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|marketing_seo/conversion_landing_optimizer,Onboarding flow cần engaging + low friction + conversion optimization
SaaS,pricing|subscription|plan,product_ux/ui_style_selection|product_ux/color_palette_generator|marketing_seo/conversion_landing_optimizer|web_development/07_landing_page_pattern,Pricing page cần clear + trustworthy + conversion-focused
SaaS,documentation|help|knowledge base,product_ux/ui_style_selection|product_ux/typography_pairing|web_development/08_web_aria_keyboard_audit|product_ux/dark_light_mode_audit,Docs cần readable typography + accessible + dark mode support
SaaS,analytics|reporting|bi,app_development/industry_ui_reasoning|product_ux/ui_style_selection|web_development/06_chart_data_visualization|product_ux/design_system_generator|web_development/10_react_performance_audit,Analytics/BI cần data-dense layout + chart types + performance
Education,lms|course|learning,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|product_ux/interaction_design_review|app_development/ui_pre_delivery_checklist,LMS cần engaging + readable + clear progression UI
Education,quiz|exam|assessment,product_ux/ui_style_selection|product_ux/interaction_design_review|web_development/08_web_aria_keyboard_audit|app_development/ui_pre_delivery_checklist,Quiz UI cần accessible + clear feedback + keyboard navigable
Education,student portal|enrollment,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/07_landing_page_pattern|marketing_seo/conversion_landing_optimizer,Student portal cần inviting + conversion-optimized enrollment
Education,tutoring|video|classroom,app_development/industry_ui_reasoning|app_development/mobile_framework_ui_guide|product_ux/ui_style_selection|product_ux/interaction_design_review,Video classroom cần responsive + smooth interaction + mobile support
Beauty,salon|spa|booking,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|marketing_seo/product_page_style_matcher,Beauty/spa cần premium + calming + style-matched
Beauty,cosmetic|skincare|makeup,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|marketing_seo/product_page_style_matcher|marketing_seo/conversion_landing_optimizer,Cosmetics cần visual-heavy + brand-aligned + conversion-optimized
Beauty,portfolio|stylist|artist,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|web_development/07_landing_page_pattern,Portfolio cần visual-first + personal brand + elegant layout
Food,restaurant|menu|dining,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|marketing_seo/product_page_style_matcher,Restaurant cần warm colors + food photography focus + readable menu
Food,recipe|cooking|meal plan,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|web_development/07_landing_page_pattern,Recipe app cần warm + readable + step-by-step layout
Food,cafe|coffee|bakery,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|marketing_seo/product_page_style_matcher,Cafe/coffee cần artisan + warm + cozy branding
RealEstate,listing|property|house,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/07_landing_page_pattern|marketing_seo/conversion_landing_optimizer,Property listing cần trust + image-heavy + search-focused
RealEstate,virtual tour|3d,product_ux/ui_style_selection|product_ux/interaction_design_review|web_development/10_react_performance_audit|app_development/ui_pre_delivery_checklist,Virtual tour cần smooth interaction + performance + immersive
RealEstate,agent|broker|portfolio,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|web_development/07_landing_page_pattern|marketing_seo/product_page_style_matcher,Agent portfolio cần professional + trust + personal branding
Gaming,leaderboard|ranking|score,product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/06_chart_data_visualization|web_development/09_css_animation_performance,Leaderboard cần exciting + animated + data visualization
Gaming,store|shop|marketplace,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|web_development/09_css_animation_performance,Game store cần immersive + smooth animation + engaging interaction
Gaming,profile|avatar|character,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/dark_light_mode_audit|web_development/09_css_animation_performance,Game profile cần dark-mode-first + animated + personalized
Travel,booking|reservation|hotel,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|marketing_seo/conversion_landing_optimizer|app_development/ui_pre_delivery_checklist,Travel booking cần trust + urgency + conversion optimization
Travel,itinerary|trip|plan,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|app_development/mobile_framework_ui_guide,Trip planning cần intuitive interaction + mobile-friendly + visual
Travel,review|experience|destination,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|web_development/07_landing_page_pattern,Travel reviews cần authentic + readable + image-rich layout
Media,article|news|blog,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/typography_pairing|product_ux/dark_light_mode_audit|web_development/08_web_aria_keyboard_audit,News/blog cần readable typography + dark mode + accessible
Media,video|streaming|content,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/dark_light_mode_audit|web_development/10_react_performance_audit|web_development/09_css_animation_performance,Streaming cần dark-first + performance + smooth transitions
Media,podcast|audio|music,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|product_ux/dark_light_mode_audit,Audio app cần immersive + dark mode + smooth controls
Generic,landing page|homepage|hero,web_development/07_landing_page_pattern|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|marketing_seo/conversion_landing_optimizer|app_development/ui_pre_delivery_checklist,Landing page cần pattern selection + style + conversion optimization
Generic,mobile app|ios|android,app_development/industry_ui_reasoning|app_development/mobile_framework_ui_guide|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|app_development/ui_pre_delivery_checklist,Mobile app cần framework guidance + platform conventions + pre-delivery
Generic,redesign|refresh|overhaul,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|product_ux/design_system_generator|product_ux/interaction_design_review|product_ux/dark_light_mode_audit|app_development/ui_pre_delivery_checklist,Redesign cần complete style refresh + design system + quality check
Generic,audit|review|check,product_ux/interaction_design_review|product_ux/dark_light_mode_audit|web_development/08_web_aria_keyboard_audit|web_development/11_icon_system_review|app_development/ui_pre_delivery_checklist,UI audit cần multi-dimension review: interaction + a11y + dark mode + icons
Generic,new project|startup|mvp,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|product_ux/design_system_generator|web_development/07_landing_page_pattern|app_development/ui_pre_delivery_checklist,New project cần full design setup: industry reasoning → style → design system → landing
