skill_id,domain,skill_name,difficulty,risk_level,phases,keywords,description,file_path
content_creation/01_documentation,content_creation,Documentation,Easy,R0,"Discovery, Design","content,content_creation,creation,documentation,read",Who should read this,content_creation/01_documentation.skill.md
content_creation/03_presentation,content_creation,Presentation,Easy,R0,"Discovery, Design","content,content_creation,creation,deck,investors,pitch,presentation",Pitch deck cho investors,content_creation/03_presentation.skill.md
content_creation/02_report_writing,content_creation,Report Writing,Medium,R0,"Discovery, Design","báo,content,content_creation,creation,cáo,doanh,kinh,report,writing,định",Báo cáo kinh doanh định kỳ,content_creation/02_report_writing.skill.md
finance_analytics/01_budget_analysis,finance_analytics,Budget Analysis,Easy,R2,"Discovery, Review","analysis,analytics,ban,budget,finance,finance_analytics,ngân,phòng,review,sách",Review ngân sách dự án hoặc phòng ban,finance_analytics/01_budget_analysis.skill.md
finance_analytics/05_cash_flow_analysis,finance_analytics,Cash Flow Analysis,Medium,R2,"Discovery, Review","analysis,analytics,cash,doanh,dòng,finance,finance_analytics,flow,giá,hình,nghiệp,tiền,tình,đánh",Đánh giá tình hình dòng tiền doanh nghiệp,finance_analytics/05_cash_flow_analysis.skill.md
finance_analytics/finance_manager,finance_analytics,Finance Manager,Advanced,R2,"Discovery, Review","actionable,analytics,analyzing,comprehensive,creating,data,finance,finance_analytics,financial,generating,insights,management,manager,need,personal,providing,recommendations,system,transaction,use,users,visualizations","> Comprehensive personal finance management system for analyzing transaction data, generating insights, creating visualizations, and providing actionable financial recommendations. Use when users need",finance_analytics/finance_manager.skill.md
finance_analytics/07_financial_risk_assessment,finance_analytics,Financial Risk Assessment,Medium,R2,"Discovery, Review","analytics,assessment,chính,doanh,finance,finance_analytics,financial,giá,nghiệp,risk,rủi,tài,tổng,đánh",Đánh giá rủi ro tài chính tổng thể của doanh nghiệp,finance_analytics/07_financial_risk_assessment.skill.md
finance_analytics/02_financial_statement_review,finance_analytics,Financial Statement Review,Medium,R2,"Discovery, Review","analytics,chính,công,finance,finance_analytics,financial,giá,khỏe,review,statement,sức,tài,đánh",Đánh giá sức khỏe tài chính công ty,finance_analytics/02_financial_statement_review.skill.md
finance_analytics/06_investment_due_diligence,finance_analytics,Investment Due Diligence,Advanced,R2,"Discovery, Review","analytics,diligence,due,estate,finance,finance_analytics,giá,hội,investment,real,venture,đánh,đầu","Đánh giá cơ hội đầu tư (M&A, venture, real estate)",finance_analytics/06_investment_due_diligence.skill.md
finance_analytics/04_kpi_dashboard_audit,finance_analytics,KPI Dashboard Audit,Medium,R2,"Discovery, Review","analytics,audit,dashboard,executive,finance,finance_analytics,kpi,overview",[ ] Executive Overview,finance_analytics/04_kpi_dashboard_audit.skill.md
finance_analytics/montecarlo,finance_analytics,Montecarlo,Advanced,R2,"Discovery, Review","analysis,analytics,carlo,finance,finance_analytics,guru,income,margin,mentions,monte,montecarlo,portfolio,probability,projections,run,simulation,simulations,strategy,stress,test,use,user",> Run Monte Carlo simulations for Finance Guru portfolio strategy. USE WHEN user mentions monte carlo OR run simulation OR stress test portfolio OR probability analysis OR income projections OR margin,finance_analytics/montecarlo.skill.md
finance_analytics/03_roi_calculator_review,finance_analytics,ROI Calculator Review,Easy,R2,"Discovery, Review","analytics,calculator,finance,finance_analytics,giá,review,roi,đánh,đầu",Đánh giá ROI của một dự án hoặc đầu tư,finance_analytics/03_roi_calculator_review.skill.md
finance_analytics/08_revenue_forecast_review,finance_analytics,Revenue Forecast Review,Medium,R2,"Discovery, Review","analytics,báo,doanh,finance,finance_analytics,forecast,hàng,năm,quý,revenue,review,thu",Review dự báo doanh thu hàng quý/năm,finance_analytics/08_revenue_forecast_review.skill.md
hr_operations/02_interview_evaluation,hr_operations,Interview Evaluation,Medium,R2,"Discovery, Review","evaluation,giá,hr,hr_operations,hợp,interview,operations,phỏng,tổng,viên,vấn,đánh,ứng","Sau khi phỏng vấn ứng viên, cần đánh giá tổng hợp",hr_operations/02_interview_evaluation.skill.md
hr_operations/01_job_description,hr_operations,Job Description,Easy,R2,"Discovery, Review","description,hr,hr_operations,job,mới,operations,trí,tạo",Tạo JD cho vị trí mới,hr_operations/01_job_description.skill.md
hr_operations/04_onboarding_checklist,hr_operations,Onboarding Checklist,Easy,R2,"Discovery, Review","checklist,hr,hr_operations,join,mới,nhân,onboarding,operations,viên",Có nhân viên mới join,hr_operations/04_onboarding_checklist.skill.md
hr_operations/03_performance_review,hr_operations,Performance Review,Medium,R2,"Discovery, Review","annually,giá,hiệu,hr,hr_operations,operations,performance,quarterly,review,suất,đánh,định",Đánh giá hiệu suất định kỳ (quarterly/annually),hr_operations/03_performance_review.skill.md
hr_operations/05_policy_documentation,hr_operations,Policy Documentation,Medium,R2,"Discovery, Review","documentation,hr,hr_operations,numbers,operations,policy,rules,specific",✅ Specific rules với numbers,hr_operations/05_policy_documentation.skill.md
legal_contracts/04_compliance_checklist,legal_contracts,Compliance Checklist,Medium,R2,"Discovery, Review","checklist,compliance,contracts,launch,legal,legal_contracts,mới,phẩm,sản,thị,trường",Launch sản phẩm ở thị trường mới,legal_contracts/04_compliance_checklist.skill.md
legal_contracts/01_contract_review,legal_contracts,Contract Review,Medium,R2,"Discovery, Review","contract,contracts,language,legal,legal_contracts,legalistic,plain,request,review",| Too legalistic | Request plain language |,legal_contracts/01_contract_review.skill.md
legal_contracts/05_ip_protection,legal_contracts,IP Protection,Medium,R2,"Discovery, Review","assets,contracts,công,giá,legal,legal_contracts,protection,đánh",Đánh giá IP assets của công ty,legal_contracts/05_ip_protection.skill.md
legal_contracts/legal_simulation_patrick_munro,legal_contracts,Legal Imulation Patrick Munro,Advanced,R2,"Discovery, Review","across,business,capabilities,claims,consumer,contexts,contracts,demonstrating,detailed,disputes,employment,framework,imulation,law,legal,legal_contracts,munro,patrick,personas,pro,protection,provides,startup,tenant","> Framework for demonstrating AI capabilities in legal contexts. Provides detailed personas across tenant law, business contracts, startup disputes, employment claims, and consumer protection with pro",legal_contracts/legal_simulation_patrick_munro.skill.md
legal_contracts/02_nda_template,legal_contracts,NDA Template,Medium,R2,"Discovery, Review","confidential,contracts,definition,info,legal,legal_contracts,nda,rộng,template",[ ] Definition of confidential info đủ rộng,legal_contracts/02_nda_template.skill.md
legal_contracts/03_terms_of_service,legal_contracts,Terms of Service,Advanced,R2,"Discovery, Review","contracts,launch,legal,legal_contracts,mới,phẩm,service,sản,terms,website",Launch sản phẩm/website mới,legal_contracts/03_terms_of_service.skill.md
legal_contracts/word,legal_contracts,Word,Advanced,R2,"Discovery, Review","analysis,changes,contracts,creation,document,documents,docx,editing,fidelity,handle,high,legal,legal_contracts,proactively,professional,quality,reports,review,tracked,use,visual,word","> Handle Word document (.docx) creation, editing, and analysis with high-fidelity visual review. Use for professional reports, legal documents, and tracked changes. Use proactively when quality and pr",legal_contracts/word.skill.md
marketing_seo/brand_voice_consistency,marketing_seo,Brand Voice Consistency,Medium,R1,"Discovery, Design","across,audit,brand,bảo,consistency,dựng,giá,guidelines,marketing,marketing_seo,nhất,quán,seo,touchpoints,voice,xây,đánh,đảm",Đánh giá và đảm bảo brand voice nhất quán across all touchpoints. Xây dựng hoặc audit brand voice guidelines.,marketing_seo/brand_voice_consistency.skill.md
marketing_seo/competitor_analysis,marketing_seo,Competitor Analysis,Medium,R1,"Discovery, Design","analysis,competitor,cách,cạnh,differentiation,diện,hội,marketing,marketing_seo,mạnh,phân,seo,thủ,toàn,tranh,tìm,tích,yếu,điểm,đối","Phân tích đối thủ cạnh tranh một cách toàn diện để tìm ra điểm mạnh, điểm yếu, và cơ hội differentiation.",marketing_seo/competitor_analysis.skill.md
marketing_seo/content_creator,marketing_seo,Content Creator,Easy,R1,"Discovery, Design","analyzer,blog,brand,consistent,content,create,creatin,creator,frameworks,includes,marketing,marketing_seo,media,optimized,optimizer,posts,seo,social,templates,use,voice,writing","> Create SEO-optimized marketing content with consistent brand voice. Includes brand voice analyzer, SEO optimizer, content frameworks, and social media templates. Use when writing blog posts, creatin",marketing_seo/content_creator.skill.md
marketing_seo/content_quality_checklist,marketing_seo,Content Quality Checklist,Easy,R1,"Discovery, Design","article,blog,bảo,checklist,chất,content,engagement,giá,lượng,marketing,marketing_seo,mặt,quality,ranking,seo,sharing,user,value,webpage,worthy,đánh,đảm","Đánh giá chất lượng content (blog, article, webpage) về mặt SEO, engagement, và value để user. Đảm bảo content worthy of ranking và sharing.",marketing_seo/content_quality_checklist.skill.md
marketing_seo/conversion_landing_optimizer,marketing_seo,Conversion Landing Optimizer,Medium,R1,"Design, Build, Optimize","conversion,landing,marketing,marketing_seo,optimizer,seo",,marketing_seo/conversion_landing_optimizer.skill.md
marketing_seo/copywriting_evaluation,marketing_seo,Copywriting Evaluation,Easy,R1,"Discovery, Design","ads,chất,conversion,copy,copywriting,cải,emails,evaluation,giá,headlines,landing,lượng,marketing,marketing_seo,pages,rate,seo,thiện,tăng,xuất,đánh","Đánh giá chất lượng copy marketing (headlines, ads, landing pages, emails) và đề xuất cải thiện để tăng conversion rate.",marketing_seo/copywriting_evaluation.skill.md
marketing_seo/email_campaign_review,marketing_seo,Email Campaign Review,Easy,R1,"Discovery, Design","campaign,click,conversion,cải,deliverability,email,engagement,giá,marketing,marketing_seo,mặt,open,rate,review,seo,thiện,through,tối,đánh","Đánh giá email marketing campaign về mặt deliverability, engagement, và conversion. Tối ưu để cải thiện open rate và click-through rate.",marketing_seo/email_campaign_review.skill.md
marketing_seo/landing_page_cro,marketing_seo,Landing Page CRO,Medium,R1,"Discovery, Design","conversion,cro,friction,giá,hiện,improvements,landing,marketing,marketing_seo,page,phát,points,rate,seo,tăng,tối,xuất,đánh",Đánh giá và tối ưu landing page để tăng Conversion Rate (CRO). Phát hiện friction points và đề xuất improvements.,marketing_seo/landing_page_cro.skill.md
marketing_seo/marketing_demand_acquisition,marketing_seo,Marketing Demand Acqui Ition,Easy,R1,"Discovery, Design","acqui,cac,calculator,channel,demand,generation,hubspot,includes,integration,internat,ition,marketing,marketing_seo,media,multi,optimization,paid,partnership,playbooks,programs,seo,series,startups,strategy","> Multi-channel demand generation, paid media optimization, SEO strategy, and partnership programs for Series A+ startups. Includes CAC calculator, channel playbooks, HubSpot integration, and internat",marketing_seo/marketing_demand_acquisition.skill.md
marketing_seo/pricing_strategy_review,marketing_seo,Pricing Strategy Review,Advanced,R1,"Discovery, Design","chiến,customer,dịch,giá,lược,marketing,marketing_seo,phẩm,pricing,revenue,review,seo,strategy,sản,tăng,tối,value,xuất,đánh",Đánh giá chiến lược giá (pricing) của sản phẩm/dịch vụ và đề xuất tối ưu để tăng revenue và customer value.,marketing_seo/pricing_strategy_review.skill.md
marketing_seo/product_page_style_matcher,marketing_seo,Product Page Style Matcher,Easy,R0,"Discovery, Design","color,dịch,dựa,hợp,landing,map,marketing,marketing_seo,match,matcher,nhất,page,palette,phù,phẩm,product,seo,structure,style,sản,sẵn,trên,types,động","Cho một sản phẩm/dịch vụ cụ thể, tự động match UI style, landing page structure, và color palette phù hợp nhất. Dựa trên 96 product types đã được map sẵn.",marketing_seo/product_page_style_matcher.skill.md
marketing_seo/seo_audit,marketing_seo,SEO Audit,Medium,R1,"Discovery, Design","audit,bản,cải,engines,giá,hiển,hiện,khả,marketing,marketing_seo,năng,phát,search,seo,thiện,thị,trên,tăng,vấn,website,xuất,yếu,đánh","Đánh giá website về các yếu tố SEO cơ bản, phát hiện vấn đề và đề xuất cải thiện để tăng khả năng hiển thị trên search engines.",marketing_seo/seo_audit.skill.md
marketing_seo/social_media_ad_review,marketing_seo,Social Media Ad Review,Medium,R1,"Discovery, Design","ads,cpc,ctr,decrease,facebook,giá,improve,increase,instagram,linkedin,marketing,marketing_seo,media,review,roas,seo,social,tiktok,tối,đánh","Đánh giá và tối ưu social media ads (Facebook, Instagram, TikTok, LinkedIn) để improve CTR, decrease CPC, và increase ROAS.",marketing_seo/social_media_ad_review.skill.md
product_ux/ab_test_review,product_ux,A/B Test Review,Medium,R1,"Discovery, Design, Review","bảo,cách,giá,kết,product,product_ux,quả,review,setup,significance,statistical,test,thiết,ux,đánh,đúng,đảm",Đánh giá thiết kế và kết quả của A/B test. Đảm bảo test được setup đúng cách và kết quả có statistical significance.,product_ux/ab_test_review.skill.md
product_ux/accessibility_audit,product_ux,Accessibility Audit (WCAG),Medium,R1,"Discovery, Design, Review","accessibility,audit,product,product_ux,ux,wcag",|------|---------|,product_ux/accessibility_audit.skill.md
product_ux/color_palette_generator,product_ux,Color Palette Generator,Medium,R1,"Discovery, Design","background,border,bảng,chỉnh,codes,color,contrast,cta,dựa,generator,hex,hoàn,loại,màu,ngành,palette,phẩm,primary,product,product_ux,ratios,secondary,sinh,sản,text,trên,tất,ux","Sinh bảng màu hoàn chỉnh cho sản phẩm dựa trên loại sản phẩm và ngành. Bao gồm Primary, Secondary, CTA, Background, Text, Border — tất cả với hex codes và contrast ratios.",product_ux/color_palette_generator.skill.md
product_ux/competitor_alternatives,product_ux,Competitor Alternatives,Easy,R1,"Discovery, Design, Review","alternative,alternatives,compar,comparison,competitor,create,enablement,mentions,page,pages,product,product_ux,sales,seo,use,user,ux,wants","> When the user wants to create competitor comparison or alternative pages for SEO and sales enablement. Also use when the user mentions 'alternative page,' 'vs page,' 'competitor comparison,' 'compar",product_ux/competitor_alternatives.skill.md
product_ux/dark_light_mode_audit,product_ux,Dark/Light Mode Audit,Medium,R1,"Design, Review","audit,border,card,contrast,dark,glass,khai,kiểm,light,mode,muted,oled,opacity,optimization,product,product_ux,readability,text,tra,triển,ux,visibility,việc","Kiểm tra việc triển khai dark mode và light mode: text contrast, glass card opacity, border visibility, muted text readability, và OLED optimization.",product_ux/dark_light_mode_audit.skill.md
product_ux/design_system_generator,product_ux,Design System Generator,Advanced,R2,"Design, Build","anti,bảng,chỉnh,color,design,domain,effects,generator,hoàn,hợp,kết,landing,màu,pattern,patterns,phẩm,product,product_ux,sinh,skill,style,system,sản,typography,tổng,ux,đây","Sinh ra design system hoàn chỉnh từ mô tả sản phẩm: bao gồm UI pattern, style, bảng màu, typography, effects, và anti-patterns. Đây là skill tổng hợp kết hợp 5 domain (product, style, color, landing, ",product_ux/design_system_generator.skill.md
product_ux/error_handling_ux,product_ux,Error Handling UX,Easy,R1,"Discovery, Design, Review","cases,cách,cải,edge,error,errors,exceptions,giá,giúp,good,handle,handling,maintain,phẩm,product,product_ux,recover,sản,thiện,trust,users,ux,đánh","Đánh giá và cải thiện cách sản phẩm handle errors, exceptions, và edge cases. Good error UX giúp users recover và maintain trust.",product_ux/error_handling_ux.skill.md
product_ux/feature_prioritization,product_ux,Feature Prioritization (RICE/ICE),Advanced,R1,"Discovery, Design, Review","dựa,effort,feature,features,focus,frameworks,giá,giúp,high,ice,impact,initiatives,prioritization,prioritize,product,product_ux,rice,team,trên,ux,value,work,đánh","Đánh giá và prioritize features/initiatives dựa trên frameworks như RICE, ICE, hoặc Value vs Effort. Giúp product team focus vào high-impact work.",product_ux/feature_prioritization.skill.md
product_ux/hooked_ux,product_ux,Hooked Ux,Easy,R1,"Discovery, Design, Review","based,building,design,engagement,eyal,forming,framework,habit,hook,hooked,increase,loops,model,need,nir,product,product_ux,products,retention,use,user,ux","> Hook Model framework for building habit-forming products based on Nir Eyal's ""Hooked"". Use when you need to: (1) increase user engagement and retention, (2) design habit loops in your product, (3) a",product_ux/hooked_ux.skill.md
product_ux/interaction_design_review,product_ux,Interaction Design Review,Medium,R1,"Design, Review","bảo,chuyên,chuẩn,cursor,design,feedback,focus,giá,hover,interaction,loading,mọi,nghiệp,product,product_ux,review,rings,states,targets,timing,touch,transition,tác,tương,ux,đánh,đạt,đảm","Đánh giá các tương tác UI/UX: touch targets, cursor states, hover feedback, loading states, focus rings, transition timing. Đảm bảo mọi interaction đạt chuẩn chuyên nghiệp.",product_ux/interaction_design_review.skill.md
product_ux/numerai_research,product_ux,Numerai Research,Easy,R1,"Discovery, Design, Review","design,end,experiment,experiments,full,idea,implement,model,needed,new,numerai,plot,product,product_ux,report,research,run,scale,scout,standard,trying,types,ux,workflow,write","> End-to-end Numerai research workflow for trying a new idea: design experiments, implement new model types if needed, run scout→scale experiments, write a full experiment.md report with standard plot",product_ux/numerai_research.skill.md
product_ux/octocode_research,product_ux,Octocode Research,Easy,R1,"Discovery, Design, Review","asks,calls,code,defined,explore,find,flow,library,octocode,product,product_ux,research,review,skill,trace,und,usages,used,user,ux,work","> This skill should be used when the user asks to ""research code"", ""how does X work"", ""where is Y defined"", ""who calls Z"", ""trace code flow"", ""find usages"", ""review a PR"", ""explore this library"", ""und",product_ux/octocode_research.skill.md
product_ux/onboarding_experience_review,product_ux,Onboarding Experience Review,Medium,R1,"Discovery, Design, Review","activation,churn,days,drives,early,experience,first,giá,good,onboarding,product,product_ux,reduces,review,time,tối,user,ux,đánh",Đánh giá và tối ưu first-time user experience (onboarding). Good onboarding drives activation và reduces churn in early days.,product_ux/onboarding_experience_review.skill.md
product_ux/research,product_ux,Research,Easy,R1,"Discovery, Design, Review","analysis,any,comprehensive,content,extensive,extraction,form,mandatory,min,product,product_ux,quick,research,says,system,trigger,use,user,ux","> Comprehensive research, analysis, and content extraction system. USE WHEN user says 'research' (ANY form - this is the MANDATORY trigger), 'do research', 'extensive research', 'quick research', 'min",product_ux/research.skill.md
product_ux/typography_pairing,product_ux,Typography Pairing,Medium,R0,"Discovery, Design","body,chọn,config,css,curate,cặp,dựa,font,fonts,google,heading,hợp,import,kèm,pairing,pairings,phù,phẩm,product,product_ux,sản,tailwind,trên,typography,url,ux","Chọn cặp font (heading + body) phù hợp cho sản phẩm, kèm Google Fonts URL, CSS import, và Tailwind config. Dựa trên 57+ font pairings đã được curate.",product_ux/typography_pairing.skill.md
product_ux/ui_style_selection,product_ux,UI Style Selection,Medium,R1,"Discovery, Design","biết,bắt,chưa,chọn,mới,product,product_ux,selection,style,ux,đầu","Bắt đầu dự án mới, chưa biết chọn style nào",product_ux/ui_style_selection.skill.md
product_ux/ux_heuristic_evaluation,product_ux,UX Heuristic Evaluation,Medium,R1,"Discovery, Design, Review","evaluation,heuristic,product,product_ux,ux",,product_ux/ux_heuristic_evaluation.skill.md
product_ux/user_flow_analysis,product_ux,User Flow Analysis,Medium,R1,"Discovery, Design, Review","analysis,flow,indicator,product,product_ux,progress,user,ux,visible",[ ] Progress indicator có visible?,product_ux/user_flow_analysis.skill.md
product_ux/user_persona_development,product_ux,User Persona Development,Easy,R1,"Discovery, Design, Review","align,better,data,decisions,development,dựa,giúp,make,persona,personas,product,product_ux,research,review,target,team,trên,tạo,user,users,ux",Tạo hoặc review user personas dựa trên data và research. Personas giúp team align về target users và make better product decisions.,product_ux/user_persona_development.skill.md
product_ux/ux_writing,product_ux,Ux Writing,Easy,R1,"Discovery, Design, Review","chí,product,product_ux,ràng,tiêu,ux,writing",Cần Ux Writing với tiêu chí rõ ràng,product_ux/ux_writing.skill.md
security_compliance/api_security_checklist,security_compliance,API Security Checklist,Medium,R2,"Design, Review","against,api,apis,best,bảo,checklist,common,compliance,endpoints,follow,giá,practices,protected,security,security_compliance,vulnerabilities,đánh,đảm",Đánh giá security của API endpoints. Đảm bảo APIs protected against common vulnerabilities và follow best practices.,security_compliance/api_security_checklist.skill.md
security_compliance/data_handling_review,security_compliance,Data Handling Review,Medium,R2,"Design, Review","compliance,data,handling,mechanism,opt,review,security,security_compliance",[ ] Opt-out mechanism?,security_compliance/data_handling_review.skill.md
security_compliance/gdpr_compliance_review,security_compliance,GDPR Compliance Review,Advanced,R2,"Design, Review","compliance,gdpr,review,security,security_compliance",,security_compliance/gdpr_compliance_review.skill.md
security_compliance/healthcheck,security_compliance,Healthcheck,Advanced,R2,"Design, Review","asks,audits,compliance,configuration,deployments,exposure,firewall,hardening,healthcheck,host,openclaw,posture,review,risk,security,security_compliance,ssh,tolerance,update,use,user","> Host security hardening and risk-tolerance configuration for OpenClaw deployments. Use when a user asks for security audits, firewall/SSH/update hardening, risk posture, exposure review, OpenClaw cr",security_compliance/healthcheck.skill.md
security_compliance/incident_response_plan,security_compliance,Incident Response Plan,Advanced,R2,"Design, Review","breaches,bảo,compliance,dựng,effectively,handle,incident,incidents,plan,prepared,response,review,security,security_compliance,team,xây,đảm",Xây dựng hoặc review Incident Response Plan. Đảm bảo team prepared để handle security incidents và breaches effectively.,security_compliance/incident_response_plan.skill.md
security_compliance/native_dependency_update,security_compliance,Native Dependency Update,Advanced,R2,"Design, Review","bug,bumps,compliance,cve,dependencies,dependency,etc,fixes,fork,freetype,handles,harfbuzz,libexpat,libjpeg,libpng,libwebp,native,security,security_compliance,skia,skiasharp,turbo,update,use,version,zlib","> Update native dependencies (libpng, libexpat, zlib, libwebp, harfbuzz, freetype, libjpeg-turbo, etc.) in SkiaSharp's Skia fork. Handles security CVE fixes, bug fixes, and version bumps. Use when use",security_compliance/native_dependency_update.skill.md
security_compliance/privacy_policy_audit,security_compliance,Privacy Policy Audit,Easy,R2,"Design, Review","audit,compliance,disclose,party,policy,privacy,processors,security,security_compliance,stripe,third",Disclose third-party processors (GA/Stripe),security_compliance/privacy_policy_audit.skill.md
security_compliance/terms_of_service_review,security_compliance,Terms of Service Review,Easy,R2,"Design, Review","business,bảo,compliance,cải,fair,giá,protect,remaining,review,security,security_compliance,service,terms,thiện,tos,understandable,users,while,đánh,đảm",Đánh giá và cải thiện Terms of Service (ToS). Đảm bảo ToS protect business while remaining fair và understandable cho users.,security_compliance/terms_of_service_review.skill.md
technical_review/02_architecture_review,technical_review,Architecture Review,Advanced,R1,"Build, Review","architecture,design,documents,review,system,technical,technical_review",Review system design documents,technical_review/02_architecture_review.skill.md
technical_review/01_code_review,technical_review,Code Review,Medium,R1,"Build, Review","code,focus,logic,performance,review,security,specify,technical,technical_review",2. Specify focus — Security? Performance? Logic?,technical_review/01_code_review.skill.md
technical_review/03_security_audit,technical_review,Security Audit,Advanced,R1,"Build, Review","applications,audit,review,security,technical,technical_review",Security review for applications,technical_review/03_security_audit.skill.md
web_development/04_blog_docs,web_development,Blog / Documentation,Easy,R1,"Design, Build","blog,công,development,documentation,nhân,web,web_development",Blog cá nhân hoặc công ty,web_development/04_blog_docs.skill.md
web_development/09_css_animation_performance,web_development,CSS Animation & Performance,Medium,R1,"Build, Review","accelerated,animation,animations,css,development,duration,gpu,jank,loading,motion,performance,prefers,prevention,properties,ranges,reduced,review,skeleton,transitions,web,web_development","Review CSS animations, transitions, và performance: GPU-accelerated properties, `prefers-reduced-motion`, duration ranges, skeleton loading, và jank prevention.",web_development/09_css_animation_performance.skill.md
web_development/06_chart_data_visualization,web_development,Chart & Data Visualization,Medium,R1,"Design, Build","chart,data,development,framework,next,recharts,visualization,web,web_development",Framework: Next.js + Recharts,web_development/06_chart_data_visualization.skill.md
web_development/03_dashboard,web_development,Dashboard,Medium,R1,"Design, Build","chính,customers,dashboard,data,development,orders,products,revenue,web,web_development","Data chính: Orders, revenue, products, customers",web_development/03_dashboard.skill.md
web_development/11_icon_system_review,web_development,Icon System Review,Easy,R0,"Design, Review","accessibility,brand,chính,consistent,development,dùng,emoji,giá,hover,icon,icons,logos,làm,review,set,sizing,states,svg,system,thống,viewbox,web,web_development,xác,đánh","Đánh giá hệ thống icon: không dùng emoji làm UI icons, consistent icon set, brand logos chính xác, SVG viewBox sizing, hover states, và accessibility.",web_development/11_icon_system_review.skill.md
web_development/01_landing_page,web_development,Landing Page,Easy,R1,"Design, Build","development,dịch,giới,landing,page,phẩm,sản,thiệu,web,web_development",Giới thiệu sản phẩm/dịch vụ,web_development/01_landing_page.skill.md
web_development/07_landing_page_pattern,web_development,Landing Page Pattern,Easy,R0,"Discovery, Design","assistant,copywriting,development,landing,page,pattern,phẩm,sản,web,web_development",Sản phẩm: AI copywriting assistant,web_development/07_landing_page_pattern.skill.md
web_development/05_portfolio,web_development,Portfolio,Easy,R1,"Design, Build","designer,developer,development,nhân,portfolio,web,web_development,writer","Portfolio cá nhân (developer, designer, writer...)",web_development/05_portfolio.skill.md
web_development/10_react_performance_audit,web_development,React Performance Audit,Advanced,R2,"Build, Review, Optimize","apps,audit,boundaries,bundle,caching,development,memo,next,performance,prevention,react,render,size,strategies,suspense,usage,waterfalls,web,web_development","Audit React/Next.js apps cho render waterfalls, bundle size, Suspense boundaries, memo usage, re-render prevention, và caching strategies.",web_development/10_react_performance_audit.skill.md
web_development/02_saas_app,web_development,SaaS App,Medium,R1,"Design, Build","app,development,dụng,nhập,saas,web,web_development,đăng,ứng",Ứng dụng web có đăng nhập/đăng ký,web_development/02_saas_app.skill.md
web_development/08_web_aria_keyboard_audit,web_development,Web ARIA & Keyboard Audit,Advanced,R2,"Build, Review","accessibility,aria,audit,chuyên,compatibility,development,focus,html,hơn,implementation,keyboard,kiểm,labels,links,management,navigation,reader,screen,semantic,skip,sâu,thuật,tra,trung,tập,web,web_development","Kiểm tra ARIA labels, keyboard navigation, semantic HTML, focus management, skip links, và screen reader compatibility. Chuyên sâu hơn Accessibility Audit — tập trung vào kỹ thuật implementation.",web_development/08_web_aria_keyboard_audit.skill.md
